reading_id,reading_name,distance_cm
186,reading_0186,33.3
187,reading_0187,34.2
188,reading_0188,36.4
189,reading_0189,34.0
190,reading_0190,33.7
191,reading_0191,32.8
192,reading_0192,32.8
193,reading_0193,32.9
194,reading_0194,36.3
195,reading_0195,36.0
196,reading_0196,33.0
197,reading_0197,35.7
198,reading_0198,36.5
199,reading_0199,32.0
200,reading_0200,40.1
201,reading_0201,42.3
202,reading_0202,39.5
203,reading_0203,38.6
204,reading_0204,34.2
205,reading_0205,37.8
206,reading_0206,34.4
207,reading_0207,36.2
208,reading_0208,33.3
209,reading_0209,35.8
210,reading_0210,41.2
211,reading_0211,38.2
212,reading_0212,38.6
213,reading_0213,36.8
214,reading_0214,12
215,reading_0215,41.5
216,reading_0216,39.3
217,reading_0217,38.3
218,reading_0218,37.9
219,reading_0219,39.3
220,reading_0220,40.4
221,reading_0221,41.0
222,reading_0222,39.7
223,reading_0223,37.9
224,reading_0224,39.9
225,reading_0225,42.5
226,reading_0226,39.0
227,reading_0227,42.6
228,reading_0228,41.4
229,reading_0229,39.3
230,reading_0230,42.3
231,reading_0231,43.0
232,reading_0232,43.5
233,reading_0233,43.2
234,reading_0234,41.1
235,reading_0235,39.4
236,reading_0236,40.8
237,reading_0237,41.0
238,reading_0238,44.7
239,reading_0239,40.8
240,reading_0240,41.8
241,reading_0241,43.9
242,reading_0242,43.3
243,reading_0243,39.3
244,reading_0244,44.6
245,reading_0245,42.4
246,reading_0246,43.3
247,reading_0247,40.0
248,reading_0248,41.0
249,reading_0249,44.0
250,reading_0250,45.9
251,reading_0251,45.2
252,reading_0252,42.1
253,reading_0253,43.4
254,reading_0254,42.9
255,reading_0255,40.0
256,reading_0256,42.8
257,reading_0257,41.3
258,reading_0258,40.2
259,reading_0259,40.1
260,reading_0260,39.1
261,reading_0261,37.1
262,reading_0262,40.0
263,reading_0263,43.9
264,reading_0264,42.5
265,reading_0265,41.4
266,reading_0266,37.9
267,reading_0267,39.3
268,reading_0268,37.1
269,reading_0269,40.6
270,reading_0270,40.3
271,reading_0271,39.1
272,reading_0272,41.3
273,reading_0273,41.9
274,reading_0274,38.6
275,reading_0275,38.8
276,reading_0276,34.6
277,reading_0277,38.3
278,reading_0278,39.3
279,reading_0279,33.1
280,reading_0280,36.2
281,reading_0281,35.6
282,reading_0282,40.4
283,reading_0283,43.5
284,reading_0284,38.9
285,reading_0285,34.4
286,reading_0286,37.9
287,reading_0287,37.4
288,reading_0288,39.0
289,reading_0289,38.6
290,reading_0290,33.5
291,reading_0291,38.4
292,reading_0292,36.1
293,reading_0293,36.4
294,reading_0294,36.7
295,reading_0295,37.7
296,reading_0296,35.5
297,reading_0297,38.9
298,reading_0298,35.3
299,reading_0299,35.9
300,reading_0300,39.0
301,reading_0301,39.0
302,reading_0302,39.7
303,reading_0303,40.2
304,reading_0304,36.8
305,reading_0305,39.7
306,reading_0306,37.2
307,reading_0307,37.1
308,reading_0308,37.5
309,reading_0309,42.4
310,reading_0310,38.1
311,reading_0311,41.2
312,reading_0312,39.4
313,reading_0313,40.7
314,reading_0314,41.3
315,reading_0315,37.2
316,reading_0316,42.9
317,reading_0317,37.7
318,reading_0318,42.2
319,reading_0319,120
320,reading_0320,38.4
321,reading_0321,44.5
322,reading_0322,41.2
323,reading_0323,41.0
324,reading_0324,45.7
325,reading_0325,40.1
326,reading_0326,41.7
327,reading_0327,42.3
328,reading_0328,45.2
329,reading_0329,45.0
330,reading_0330,43.7
331,reading_0331,44.0
332,reading_0332,41.4
333,reading_0333,45.6
334,reading_0334,46.9
335,reading_0335,47.4
336,reading_0336,46.4
337,reading_0337,48.7
338,reading_0338,44.4
339,reading_0339,46.2
340,reading_0340,42.6
341,reading_0341,46.5
342,reading_0342,47.8
343,reading_0343,41.7
344,reading_0344,44.5
345,reading_0345,48.4
346,reading_0346,48.2
347,reading_0347,46.2
348,reading_0348,44.6
349,reading_0349,42.7
350,reading_0350,41.0
351,reading_0351,45.2
352,reading_0352,47.6
353,reading_0353,44.7
354,reading_0354,45.2
355,reading_0355,45.1
356,reading_0356,43.3
357,reading_0357,43.8
358,reading_0358,44.5
359,reading_0359,43.5
360,reading_0360,49.7
361,reading_0361,47.2
362,reading_0362,40.0
363,reading_0363,41.2
364,reading_0364,49.5
365,reading_0365,42.8
366,reading_0366,42.8
367,reading_0367,43.3
368,reading_0368,42.1
369,reading_0369,42.3
370,reading_0370,41.6
371,reading_0371,40.0
372,reading_0372,41.3
373,reading_0373,43.5
374,reading_0374,41.9
375,reading_0375,42.1
376,reading_0376,45.3
377,reading_0377,42.9
378,reading_0378,37.5
379,reading_0379,41.9
380,reading_0380,37.4
381,reading_0381,40.5
382,reading_0382,39.6
383,reading_0383,40.0
384,reading_0384,39.0
385,reading_0385,37.8
386,reading_0386,36.3
387,reading_0387,36.8
388,reading_0388,39.8
389,reading_0389,35.5
390,reading_0390,36.7
391,reading_0391,36.3
392,reading_0392,37.6
393,reading_0393,38.7
394,reading_0394,39.8
395,reading_0395,38.4
396,reading_0396,37.4
397,reading_0397,33.7
398,reading_0398,39.1
399,reading_0399,36.5
400,reading_0400,41.3
401,reading_0401,30.6
402,reading_0402,40.3
403,reading_0403,42.0
404,reading_0404,32.3
405,reading_0405,37.7
406,reading_0406,37.7
407,reading_0407,33.4
408,reading_0408,37.9
409,reading_0409,35.2
410,reading_0410,36.8
411,reading_0411,33.9
412,reading_0412,35.5
413,reading_0413,40.0
414,reading_0414,34.8
415,reading_0415,34.1
416,reading_0416,37.7
417,reading_0417,37.1
418,reading_0418,38.8
419,reading_0419,42.1
420,reading_0420,38.9
421,reading_0421,33.9
422,reading_0422,39.1
423,reading_0423,36.7
424,reading_0424,37.8
425,reading_0425,41.0
426,reading_0426,38.8
427,reading_0427,40.5
428,reading_0428,35.2
429,reading_0429,38.3
430,reading_0430,38.7
431,reading_0431,41.2
432,reading_0432,35.4
433,reading_0433,40.8
434,reading_0434,39.5
435,reading_0435,40.0
436,reading_0436,40.1
437,reading_0437,42.7
438,reading_0438,39.3
439,reading_0439,42.3
440,reading_0440,40.8
441,reading_0441,40.2
442,reading_0442,40.9
443,reading_0443,44.2
444,reading_0444,44.6
445,reading_0445,43.4
446,reading_0446,44.9
447,reading_0447,41.7
448,reading_0448,42.7
449,reading_0449,45.9
450,reading_0450,44.6
451,reading_0451,43.3
452,reading_0452,39.2
453,reading_0453,43.1
454,reading_0454,44.9
455,reading_0455,41.2
456,reading_0456,46.4
457,reading_0457,38.0
458,reading_0458,41.8
459,reading_0459,42.4
460,reading_0460,42.3
461,reading_0461,39.3
462,reading_0462,42.5
463,reading_0463,42.4
464,reading_0464,40.3
465,reading_0465,41.1
466,reading_0466,44.0
467,reading_0467,37.9
468,reading_0468,42.7
469,reading_0469,40.3
470,reading_0470,39.5
471,reading_0471,39.5
472,reading_0472,38.9
473,reading_0473,39.9
474,reading_0474,38.5
475,reading_0475,36.6
476,reading_0476,37.6
477,reading_0477,40.5
478,reading_0478,8
479,reading_0479,41.2
480,reading_0480,35.1
481,reading_0481,36.9
482,reading_0482,41.7
483,reading_0483,34.1
484,reading_0484,40.3
485,reading_0485,34.7
486,reading_0486,34.8
487,reading_0487,34.8
488,reading_0488,36.5
489,reading_0489,36.5
490,reading_0490,38.3
491,reading_0491,37.9
492,reading_0492,32.5
493,reading_0493,33.5
494,reading_0494,36.3
495,reading_0495,38.4
496,reading_0496,37.2
497,reading_0497,33.0
498,reading_0498,35.7
499,reading_0499,36.1
500,reading_0500,36.2
501,reading_0501,35.2
502,reading_0502,33.7
503,reading_0503,33.2
504,reading_0504,35.0
505,reading_0505,35.0
506,reading_0506,32.7
507,reading_0507,34.7
508,reading_0508,34.7
509,reading_0509,37.3
510,reading_0510,37.7
511,reading_0511,39.6
512,reading_0512,36.5
513,reading_0513,36.0
514,reading_0514,38.0
515,reading_0515,33.7
516,reading_0516,36.6
517,reading_0517,33.2
518,reading_0518,34.0
519,reading_0519,38.5
520,reading_0520,40.2
521,reading_0521,37.3
522,reading_0522,35.4
523,reading_0523,36.7
524,reading_0524,37.3
525,reading_0525,36.6
526,reading_0526,36.3
527,reading_0527,38.2
528,reading_0528,38.0
529,reading_0529,38.5
530,reading_0530,41.9
531,reading_0531,39.1
532,reading_0532,38.6
533,reading_0533,39.8
534,reading_0534,41.8
535,reading_0535,41.2
536,reading_0536,41.8
537,reading_0537,38.2
538,reading_0538,43.7
539,reading_0539,44.1
540,reading_0540,40.7
541,reading_0541,44.6
542,reading_0542,37.6
543,reading_0543,41.0
544,reading_0544,37.9
545,reading_0545,40.6
546,reading_0546,44.8
547,reading_0547,44.9
548,reading_0548,44.9
549,reading_0549,42.6
550,reading_0550,42.4
551,reading_0551,46.0
552,reading_0552,45.5
553,reading_0553,44.3
554,reading_0554,42.3
555,reading_0555,40.1
556,reading_0556,42.5
557,reading_0557,41.9
558,reading_0558,45.3
559,reading_0559,43.9
560,reading_0560,43.0
561,reading_0561,46.2
562,reading_0562,43.2
563,reading_0563,45.9
564,reading_0564,43.2
565,reading_0565,46.7
566,reading_0566,43.2
567,reading_0567,43.2
568,reading_0568,44.1
569,reading_0569,45.9
570,reading_0570,43.2
571,reading_0571,48.1
572,reading_0572,42.8
573,reading_0573,44.5
574,reading_0574,41.8
575,reading_0575,42.8
576,reading_0576,45.1
577,reading_0577,42.3
578,reading_0578,44.0
579,reading_0579,42.2
580,reading_0580,43.8
581,reading_0581,42.9
582,reading_0582,41.7
583,reading_0583,40.7
584,reading_0584,42.5
585,reading_0585,37.7
586,reading_0586,48.2
587,reading_0587,41.4
588,reading_0588,42.8
589,reading_0589,42.0
590,reading_0590,42.1
591,reading_0591,45.0
592,reading_0592,42.0
593,reading_0593,37.5
594,reading_0594,39.1
595,reading_0595,42.9
596,reading_0596,43.4
597,reading_0597,38.8
598,reading_0598,41.3
599,reading_0599,38.0
600,reading_0600,39.1
601,reading_0601,35.3
602,reading_0602,41.4
603,reading_0603,12
604,reading_0604,41.6
605,reading_0605,37.6
606,reading_0606,39.6
607,reading_0607,37.9
608,reading_0608,39.6
609,reading_0609,37.6
610,reading_0610,39.4
611,reading_0611,37.3
612,reading_0612,39.7
613,reading_0613,39.2
614,reading_0614,39.6
615,reading_0615,42.8
616,reading_0616,42.3
617,reading_0617,40.0
618,reading_0618,38.0
619,reading_0619,40.8
620,reading_0620,35.5
621,reading_0621,39.0
622,reading_0622,38.9
623,reading_0623,40.7
624,reading_0624,37.7
625,reading_0625,35.3
626,reading_0626,40.7
627,reading_0627,39.5
628,reading_0628,40.0
629,reading_0629,42.1
630,reading_0630,40.6
631,reading_0631,40.4
632,reading_0632,39.6
633,reading_0633,41.0
634,reading_0634,39.9
635,reading_0635,38.2
636,reading_0636,42.2
637,reading_0637,44.8
638,reading_0638,41.7
639,reading_0639,40.1
640,reading_0640,38.0
641,reading_0641,42.5
642,reading_0642,43.5
643,reading_0643,41.5
644,reading_0644,41.6
645,reading_0645,41.4
646,reading_0646,39.1
647,reading_0647,40.3
648,reading_0648,41.2
649,reading_0649,41.5
650,reading_0650,43.5
651,reading_0651,40.8
652,reading_0652,45.0
653,reading_0653,45.4
654,reading_0654,40.4
655,reading_0655,42.4
656,reading_0656,46.5
657,reading_0657,45.2
658,reading_0658,45.0
659,reading_0659,44.1
660,reading_0660,45.0
661,reading_0661,45.7
662,reading_0662,46.1
663,reading_0663,45.9
664,reading_0664,41.9
665,reading_0665,45.2
666,reading_0666,45.5
667,reading_0667,44.7
668,reading_0668,46.1
669,reading_0669,41.7
670,reading_0670,42.2
671,reading_0671,45.7
672,reading_0672,43.6
673,reading_0673,45.8
674,reading_0674,46.2
675,reading_0675,43.2
676,reading_0676,44.8
677,reading_0677,43.3
678,reading_0678,42.6
679,reading_0679,42.9
680,reading_0680,41.0
681,reading_0681,38.7
682,reading_0682,40.8
683,reading_0683,42.5
684,reading_0684,37.1
685,reading_0685,38.4
686,reading_0686,39.6
687,reading_0687,42.9
688,reading_0688,41.4
689,reading_0689,36.3
690,reading_0690,42.9
691,reading_0691,35.8
692,reading_0692,38.9
693,reading_0693,42.6
694,reading_0694,37.1
695,reading_0695,40.2
696,reading_0696,35.8
697,reading_0697,40.2
698,reading_0698,38.1
699,reading_0699,41.4
700,reading_0700,38.9
701,reading_0701,38.0
702,reading_0702,35.8
703,reading_0703,36.2
704,reading_0704,39.4
705,reading_0705,37.6
706,reading_0706,34.9
707,reading_0707,33.1
708,reading_0708,35.7
709,reading_0709,35.2
710,reading_0710,34.0
711,reading_0711,35.3
712,reading_0712,34.7
713,reading_0713,33.6
714,reading_0714,36.4
715,reading_0715,34.8
716,reading_0716,36.1
717,reading_0717,30.9
718,reading_0718,38.9
719,reading_0719,37.7
720,reading_0720,34.3
721,reading_0721,38.8
722,reading_0722,35.1
723,reading_0723,33.0
724,reading_0724,41.8
725,reading_0725,34.2
726,reading_0726,34.6
727,reading_0727,34.9
728,reading_0728,33.0
729,reading_0729,33.7
730,reading_0730,32.9
731,reading_0731,38.5
732,reading_0732,33.4
733,reading_0733,35.1
734,reading_0734,32.9
735,reading_0735,34.3
736,reading_0736,38.2
737,reading_0737,37.1
738,reading_0738,35.3
739,reading_0739,36.5
740,reading_0740,39.3
741,reading_0741,33.6
742,reading_0742,36.4
743,reading_0743,39.9
744,reading_0744,12
745,reading_0745,39.4
746,reading_0746,40.9
747,reading_0747,38.3
748,reading_0748,37.9
749,reading_0749,36.0
750,reading_0750,36.9
751,reading_0751,35.1
752,reading_0752,40.0
753,reading_0753,41.1
754,reading_0754,37.2
755,reading_0755,39.9
756,reading_0756,38.0
757,reading_0757,39.4
758,reading_0758,38.7
759,reading_0759,38.0
760,reading_0760,40.8
761,reading_0761,38.8
762,reading_0762,40.9
763,reading_0763,43.7
764,reading_0764,37.0
765,reading_0765,37.6
766,reading_0766,40.8
767,reading_0767,40.1
768,reading_0768,38.1
769,reading_0769,40.9
770,reading_0770,44.9
771,reading_0771,41.3
772,reading_0772,40.3
773,reading_0773,42.1
774,reading_0774,41.1
775,reading_0775,43.3
776,reading_0776,42.1
777,reading_0777,44.1
778,reading_0778,38.5
779,reading_0779,41.6
780,reading_0780,41.0
781,reading_0781,41.4
782,reading_0782,42.0
783,reading_0783,39.1
784,reading_0784,42.2
785,reading_0785,41.4
786,reading_0786,41.1
787,reading_0787,42.5
788,reading_0788,43.7
789,reading_0789,40.4
790,reading_0790,42.4
791,reading_0791,37.0
792,reading_0792,43.0
793,reading_0793,35.3
794,reading_0794,41.5
795,reading_0795,39.5
796,reading_0796,40.9
797,reading_0797,42.5
798,reading_0798,39.7
799,reading_0799,36.2
800,reading_0800,37.8
801,reading_0801,42.9
802,reading_0802,39.1
803,reading_0803,43.7
804,reading_0804,40.9
805,reading_0805,40.7
806,reading_0806,41.0
807,reading_0807,40.5
808,reading_0808,40.5
809,reading_0809,34.6
810,reading_0810,38.3
811,reading_0811,36.2
812,reading_0812,36.1
813,reading_0813,36.5
814,reading_0814,37.5
815,reading_0815,37.6
816,reading_0816,34.7
817,reading_0817,34.3
818,reading_0818,33.7
819,reading_0819,37.3
820,reading_0820,41.1
821,reading_0821,41.0
822,reading_0822,38.4
823,reading_0823,34.6
824,reading_0824,40.1
825,reading_0825,40.7
826,reading_0826,32.9
827,reading_0827,38.8
828,reading_0828,38.6
829,reading_0829,34.1
830,reading_0830,37.3
831,reading_0831,35.8
832,reading_0832,40.3
833,reading_0833,34.2
834,reading_0834,39.1
835,reading_0835,37.6
836,reading_0836,40.8
837,reading_0837,37.2
838,reading_0838,36.0
839,reading_0839,35.4
840,reading_0840,37.4
841,reading_0841,39.6
842,reading_0842,37.1
843,reading_0843,37.2
844,reading_0844,41.1
845,reading_0845,43.3
846,reading_0846,39.1
847,reading_0847,41.0
848,reading_0848,39.6
849,reading_0849,39.8
850,reading_0850,38.7
851,reading_0851,41.1
852,reading_0852,40.7
853,reading_0853,39.0
854,reading_0854,38.8
855,reading_0855,41.6
856,reading_0856,40.8
857,reading_0857,41.7
858,reading_0858,41.6
859,reading_0859,43.2
860,reading_0860,44.8
861,reading_0861,38.8
862,reading_0862,41.1
863,reading_0863,41.5
864,reading_0864,45.2
865,reading_0865,46.3
866,reading_0866,45.5
867,reading_0867,41.7
868,reading_0868,44.1
869,reading_0869,47.9
870,reading_0870,46.1
871,reading_0871,43.9
872,reading_0872,43.6
873,reading_0873,46.6
874,reading_0874,43.0
875,reading_0875,45.2
876,reading_0876,43.6
877,reading_0877,45.5
878,reading_0878,47.8
879,reading_0879,44.7
880,reading_0880,46.9
881,reading_0881,47.8
882,reading_0882,44.6
883,reading_0883,46.4
884,reading_0884,48.2
885,reading_0885,45.3
886,reading_0886,46.8
887,reading_0887,47.7
888,reading_0888,45.2
889,reading_0889,44.8
890,reading_0890,43.5
891,reading_0891,75
892,reading_0892,38.7
893,reading_0893,46.8
894,reading_0894,44.1
895,reading_0895,43.5
896,reading_0896,43.2
897,reading_0897,45.3
898,reading_0898,44.7
899,reading_0899,44.7
900,reading_0900,43.9
901,reading_0901,41.8
902,reading_0902,43.0
903,reading_0903,44.1
904,reading_0904,45.6
905,reading_0905,44.5
906,reading_0906,42.0
907,reading_0907,43.1
908,reading_0908,39.1
909,reading_0909,39.5
910,reading_0910,41.7
911,reading_0911,40.2
912,reading_0912,44.5
913,reading_0913,36.5
914,reading_0914,39.4
915,reading_0915,39.5
916,reading_0916,38.6
917,reading_0917,39.4
918,reading_0918,38.8
919,reading_0919,39.9
920,reading_0920,39.5
921,reading_0921,39.0
922,reading_0922,40.8
923,reading_0923,39.1
924,reading_0924,40.4
925,reading_0925,37.2
926,reading_0926,38.5
927,reading_0927,37.2
928,reading_0928,34.9
929,reading_0929,40.9
930,reading_0930,34.2
931,reading_0931,36.8
932,reading_0932,37.9
933,reading_0933,34.2
934,reading_0934,34.5
935,reading_0935,34.3
936,reading_0936,36.0
937,reading_0937,36.3
938,reading_0938,35.1
939,reading_0939,36.2
940,reading_0940,36.9
941,reading_0941,29.4
942,reading_0942,34.7
943,reading_0943,38.2
944,reading_0944,38.9
945,reading_0945,34.3
946,reading_0946,36.8
947,reading_0947,39.7
948,reading_0948,37.8
949,reading_0949,40.2
950,reading_0950,39.1
951,reading_0951,39.4
952,reading_0952,38.2
953,reading_0953,37.7
954,reading_0954,37.6
955,reading_0955,38.8
956,reading_0956,41.0
957,reading_0957,40.1
958,reading_0958,35.9
959,reading_0959,38.7
960,reading_0960,37.6
961,reading_0961,36.9
962,reading_0962,39.7
963,reading_0963,39.4
964,reading_0964,39.5
965,reading_0965,39.2
966,reading_0966,39.2
967,reading_0967,100
968,reading_0968,36.6
969,reading_0969,41.5
970,reading_0970,41.7
971,reading_0971,40.4
972,reading_0972,42.8
973,reading_0973,41.4
974,reading_0974,41.6
975,reading_0975,40.8
976,reading_0976,44.6
977,reading_0977,44.1
978,reading_0978,41.4
979,reading_0979,40.5
980,reading_0980,43.1
981,reading_0981,42.8
982,reading_0982,37.4
983,reading_0983,42.4
984,reading_0984,45.6
985,reading_0985,43.8
986,reading_0986,39.8
987,reading_0987,43.4
988,reading_0988,41.5
989,reading_0989,35.1
990,reading_0990,42.3
991,reading_0991,43.6
992,reading_0992,37.9
993,reading_0993,38.7
994,reading_0994,41.6
995,reading_0995,40.2
996,reading_0996,41.4
997,reading_0997,39.8
998,reading_0998,42.6
999,reading_0999,40.9
1000,reading_1000,41.4
